name,type,value,date
维内托,iOS,7031,2018-07-31
胡德,Andriod,21733,2018-08-01
埃塞克斯,Andriod,21471,2018-08-01
俾斯麦,Andriod,20397,2018-08-01
列克星敦,iOS,17719,2018-08-01
昆西,Andriod,17205,2018-08-01
皇家方舟,iOS,17204,2018-08-01
欧根亲王,iOS,16299,2018-08-01
空想,Andriod,15894,2018-08-01
声望,Andriod,15722,2018-08-01
萨拉托加,Andriod,15442,2018-08-01
海伦娜,Andriod,14431,2018-08-01
纳尔逊,Andriod,14191,2018-08-01
黎赛留,Andriod,14080,2018-08-01
贝尔法斯特,Andriod,13198,2018-08-01
提尔比茨,iOS,13021,2018-08-01
罗德尼,iOS,12596,2018-08-01
突击者,Andriod,12494,2018-08-01
大青花鱼,iOS,11748,2018-08-01
长春,Andriod,10857,2018-08-01
阿拉斯加,iOS,10152,2018-08-01
维内托,iOS,7111,2018-08-01
埃塞克斯,Andriod,22800,2018-08-02
胡德,Andriod,22668,2018-08-02
俾斯麦,Andriod,22087,2018-08-02
列克星敦,iOS,18740,2018-08-02
皇家方舟,iOS,18382,2018-08-02
昆西,Andriod,17967,2018-08-02
欧根亲王,iOS,17260,2018-08-02
声望,Andriod,17150,2018-08-02
萨拉托加,Andriod,16715,2018-08-02
空想,Andriod,16544,2018-08-02
海伦娜,Andriod,15363,2018-08-02
纳尔逊,Andriod,15322,2018-08-02
黎赛留,Andriod,15058,2018-08-02
贝尔法斯特,Andriod,13986,2018-08-02
提尔比茨,iOS,13910,2018-08-02
突击者,Andriod,13292,2018-08-02
罗德尼,iOS,13091,2018-08-02
大青花鱼,iOS,12651,2018-08-02
长春,Andriod,11822,2018-08-02
阿拉斯加,iOS,11077,2018-08-02
维内托,iOS,7559,2018-08-02
胡德,Andriod,22960,2018-08-03
埃塞克斯,Andriod,22871,2018-08-03
俾斯麦,Andriod,22157,2018-08-03
列克星敦,iOS,18854,2018-08-03
皇家方舟,iOS,18538,2018-08-03
昆西,Andriod,18089,2018-08-03
欧根亲王,iOS,17672,2018-08-03
声望,Andriod,17370,2018-08-03
萨拉托加,Andriod,16848,2018-08-03
空想,Andriod,16665,2018-08-03
海伦娜,Andriod,15551,2018-08-03
纳尔逊,Andriod,15395,2018-08-03
黎赛留,Andriod,15218,2018-08-03
贝尔法斯特,Andriod,14001,2018-08-03
提尔比茨,iOS,13910,2018-08-03
突击者,Andriod,13428,2018-08-03
罗德尼,iOS,13135,2018-08-03
大青花鱼,iOS,12662,2018-08-03
长春,Andriod,11829,2018-08-03
阿拉斯加,iOS,11147,2018-08-03
维内托,iOS,7700,2018-08-03
胡德,Andriod,23056,2018-08-04
埃塞克斯,Andriod,22871,2018-08-04
