name,type,value,date
凉薄已倾城,纳尔逊,49916,2018-08-16
水之证,欧根亲王,48544,2018-08-16
Detianyouxi,纳尔逊,48484,2018-08-16
海伦娜的娜,海伦娜,48395,2018-08-16
赤髮の白雪姬,空想,47757,2018-08-16
T.K,胡德,47737,2018-08-16
梦里花落知多少,黎赛留,47566,2018-08-16
休比,列克星敦,46621,2018-08-16
仓鲲娃,皇家方舟,70052,2018-08-17
辛西娅·玛格丽特,俾斯麦,62636,2018-08-17
里脊肉真好吃,胡德,60482,2018-08-17
琉璃,胡德,58806,2018-08-17
夜月风云雷光,埃塞克斯,57669,2018-08-17
啾啾南小鸟,俾斯麦,57662,2018-08-17
哈里斯梦娜,胡德,56906,2018-08-17
东方辉晔,黎赛留,53715,2018-08-17
alon,声望,52356,2018-08-17
嘉思,欧根亲王,51650,2018-08-17
银弹,皇家方舟,50828,2018-08-17
楹花,萨拉托加,50016,2018-08-17
凉薄已倾城,纳尔逊,50015,2018-08-17
水之证,欧根亲王,48606,2018-08-17
Detianyouxi,纳尔逊,48520,2018-08-17
海伦娜的娜,海伦娜,48399,2018-08-17
T.K,胡德,47925,2018-08-17
赤髮の白雪姬,空想,47785,2018-08-17
梦里花落知多少,黎赛留,47661,2018-08-17
休比,列克星敦,46777,2018-08-17
仓鲲娃,皇家方舟,70052,2018-08-18
辛西娅·玛格丽特,俾斯麦,62636,2018-08-18
里脊肉真好吃,胡德,60482,2018-08-18
琉璃,胡德,58816,2018-08-18
夜月风云雷光,埃塞克斯,57669,2018-08-18
啾啾南小鸟,俾斯麦,57662,2018-08-18
哈里斯梦娜,胡德,56906,2018-08-18
东方辉晔,黎赛留,53715,2018-08-18
alon,声望,52359,2018-08-18
嘉思,欧根亲王,51650,2018-08-18
银弹,皇家方舟,50835,2018-08-18
凉薄已倾城,纳尔逊,50018,2018-08-18
楹花,萨拉托加,50016,2018-08-18
水之证,欧根亲王,48660,2018-08-18
Detianyouxi,纳尔逊,48520,2018-08-18
海伦娜的娜,海伦娜,48399,2018-08-18
T.K,胡德,47925,2018-08-18
赤髮の白雪姬,空想,47790,2018-08-18
梦里花落知多少,黎赛留,47668,2018-08-18
休比,列克星敦,46777,2018-08-18
仓鲲娃,皇家方舟,70052,2018-08-19
辛西娅·玛格丽特,俾斯麦,62855,2018-08-19
里脊肉真好吃,胡德,60492,2018-08-19
琉璃,胡德,58963,2018-08-19
夜月风云雷光,埃塞克斯,57863,2018-08-19
啾啾南小鸟,俾斯麦,57817,2018-08-19
哈里斯梦娜,胡德,56971,2018-08-19
东方辉晔,黎赛留,53885,2018-08-19
alon,声望,52368,2018-08-19
嘉思,欧根亲王,51650,2018-08-19
银弹,皇家方舟,51068,2018-08-19
凉薄已倾城,纳尔逊,50032,2018-08-19
楹花,萨拉托加,50016,2018-08-19
水之证,欧根亲王,48694,2018-08-19
Detianyouxi,纳尔逊,48585,2018-08-19
海伦娜的娜,海伦娜,48413,2018-08-19
T.K,胡德,48077,2018-08-19
大西洋的海风,黎赛留,47912,2018-08-19
赤髮の白雪姬,空想,47806,2018-08-19
休比,列克星敦,46889,2018-08-19
仓鲲娃,皇家方舟,70052,2018-08-21
辛西娅·玛格丽特,俾斯麦,63142,2018-08-21
里脊肉真好吃,胡德,60497,2018-08-21
琉璃,胡德,59059,2018-08-21
夜月风云雷光,埃塞克斯,57988,2018-08-21
啾啾南小鸟,俾斯麦,57897,2018-08-21
哈里斯梦娜,胡德,56971,2018-08-21
东方辉晔,黎赛留,54012,2018-08-21
alon,声望,52373,2018-08-21
嘉思,欧根亲王,51650,2018-08-21
银弹,皇家方舟,51213,2018-08-21
凉薄已倾城,纳尔逊,50114,2018-08-21
