name,type,value,date
空想,Andriod,16932,2018-08-10
纳尔逊,Andriod,15894,2018-08-10
海伦娜,Andriod,15886,2018-08-10
黎赛留,Andriod,15526,2018-08-10
贝尔法斯特,Andriod,14346,2018-08-10
提尔比茨,iOS,14096,2018-08-10
突击者,Andriod,13536,2018-08-10
罗德尼,iOS,13416,2018-08-10
大青花鱼,iOS,13027,2018-08-10
长春,Andriod,12297,2018-08-10
阿拉斯加,iOS,11340,2018-08-10
维内托,iOS,8036,2018-08-10
胡德,Andriod,23358,2018-08-11
埃塞克斯,Andriod,23062,2018-08-11
俾斯麦,Andriod,22507,2018-08-11
列克星敦,iOS,19517,2018-08-11
皇家方舟,iOS,18675,2018-08-11
昆西,Andriod,18363,2018-08-11
欧根亲王,iOS,18033,2018-08-11
声望,Andriod,17528,2018-08-11
萨拉托加,Andriod,17204,2018-08-11
空想,Andriod,16932,2018-08-11
海伦娜,Andriod,15928,2018-08-11
纳尔逊,Andriod,15902,2018-08-11
黎赛留,Andriod,15531,2018-08-11
贝尔法斯特,Andriod,14357,2018-08-11
提尔比茨,iOS,14198,2018-08-11
突击者,Andriod,13598,2018-08-11
罗德尼,iOS,13473,2018-08-11
大青花鱼,iOS,13033,2018-08-11
长春,Andriod,12327,2018-08-11
阿拉斯加,iOS,11340,2018-08-11
维内托,iOS,8065,2018-08-11
胡德,Andriod,23386,2018-08-12
埃塞克斯,Andriod,23097,2018-08-12
俾斯麦,Andriod,22602,2018-08-12
列克星敦,iOS,19562,2018-08-12
皇家方舟,iOS,18686,2018-08-12
昆西,Andriod,18385,2018-08-12
欧根亲王,iOS,18046,2018-08-12
声望,Andriod,17577,2018-08-12
萨拉托加,Andriod,17204,2018-08-12
空想,Andriod,16959,2018-08-12
海伦娜,Andriod,15937,2018-08-12
纳尔逊,Andriod,15920,2018-08-12
黎赛留,Andriod,15567,2018-08-12
贝尔法斯特,Andriod,14373,2018-08-12
提尔比茨,iOS,14208,2018-08-12
突击者,Andriod,13598,2018-08-12
罗德尼,iOS,13484,2018-08-12
大青花鱼,iOS,13050,2018-08-12
长春,Andriod,12354,2018-08-12
阿拉斯加,iOS,11340,2018-08-12
维内托,iOS,8104,2018-08-12
胡德,Andriod,23393,2018-08-13
埃塞克斯,Andriod,23127,2018-08-13
俾斯麦,Andriod,22612,2018-08-13
列克星敦,iOS,19562,2018-08-13
皇家方舟,iOS,18688,2018-08-13
昆西,Andriod,18385,2018-08-13
欧根亲王,iOS,18066,2018-08-13
